content,score
"Apa apaaan, ini aplikasi gada gunanya sama sekalii. Ga usah di download ga perlu ga bisa dipakai. Terjadi kesalahan koneksi terus padahal sinyal saya sudah bagus. Ini membuat saya sangat kesal, disediakan kemudahan melalui online tetapi malah sebaliknya",1
"tujuan dari e dukcapil memudahkan urusan dalam pengurusan data kependudukan sprti KTP, akta dll . yg jadi masalahnya untuk login aplikasinya, ttp butuh barcode dari dukcapil. lalu mudahnya dimna? kalau ujungnya juga harus ke kantor dukcapil??? heran tapi ya sudahlah. mungkin saya yang gaptek, dalam e e an... kalau manual lebih susah, ngapain harus yang mudah..🙃",1
"Setelah instal dan dibuka ada tulisan ""terjadi kesalahan koneksi"" udah klik ""coba lagi"" berkali-kali tetep tdk bisa, setting dipengaturan ""izin aplikasi"" udah dibuka smua tetap kluar terjadi kesalahan koneksi, mohon aplikasi disempurnakan lagi",3
"Tolong d perbaiki & disempurnakan lagi Masa rajin bgt kesalahan koneksi. Kalo bisa sekalian d sinkronkan dengan instansi yg lain Jadi kalo ada perubahan status, pekerjaan, pendidikan bisa langsung update, atau kasih akses tiap user buat ubah datanya sendiri biar update & efektif",1
"Sekarang tidak bisa di buka,selalu kesalahan koneksi,padahal sudah copot pasang,wifi ataupun data seluler tak bisa membuka, kesalahan koneksi. Dan sangat kecewa kepada dukcapil tempat saya,jauh jauh dari kota lain,untuk membakak atau ganti akte lama dengan akte baru yang ber barcode,ternyata persyaratan nya sama dengan membuat akte anak baru lahir.bukankah tidak merubah data apapun,hanya menambah barcode saja.",5
"Kalau mau serba online , minimal birokrasi sudah jalan dengan baik. Untuk apa online kalau masih datang ke dukcapil hanya untuk minta barcode ? Ini kurang efisien . Kalau bisa online , seharusnya soal barcode dari dukcapil bisa di download secara online dan scan barcode harus ada pilihan pilih barcode dari penyimpanan gallery foto untuk di tampilkan dan bisa di scan secara mandiri. Tolong di tingkatkan lagi soal birokrasi dan SDM pemerintah yg harus kompeten dibidangnya. Terimakasih",5
Maaf kenapa tidak bisa login untuk menu pelayanan dokumen dan pemantauan pelayanan dan pelayanan ?sebelum nya masih bisa bahkan bisa masukkan pin IKD dan captcha malah tercantum tidak bisa login.tolong aplikasi nya ditingkat kan lagi lagi ada masalah apa koneksi?dan bagian menu dokumen > lainnya kenapa kosong biasanya ada.aneh sekali.,2
"Untuk pencetakan dokumen mungkin bisa lebih di tingkatkan, kalau udah digital semua proses dilakukan secara online, Percuma dong digital masih harus tetep bulak balik ke UPT terdekat atau Capil utk verifikasi .. Dan utk resolusi gambar dokumen KTP kk di aplikasi pun rendah sekali.. Semangat capilll, milenial mendukung digitall",3
"Jangan diinstal woi, percuma ntar palingan data data yang dimasukan bocor juga. Oh iya... Kok dari tampilan dalam aplikasinya jelek banget ya kek aplikasi murahan padahal anggaranya miliyaran loh,harusnya bisa dong bikin tampilan yang lebih keren dan menarik, pesan saya ! Klo ada kritik tuh ya di perhatikan biar kedepannya bisa lebih baik lagi... Dah lah cape gw",1
"Anggaran gede tapi nyari tim IT yg bener aja g bisa, minimal nyari tim IT jgn yang boomer gaptek biar bikin aplikasi kagak asal asalan, embel embel ""digital"" biar keliatan keren doang apa gimana?, judul doang digital tpi pelaksanaanya offline offline juga, buat apa lu bikin aplikasi ginian yg harusnya semua bisa dilakukan secara online ini masih aja disuruh datang ke kantor dukcapil cuma buat minta barcode bakal login/daftar. Instansi korup 🤡🤡",1
"masih banyak fitur yang belum terintegrasi, kegunaan aplikasi juga belum jelas, masih dimintai fotocopy ketika mengurus dokumen di tempat pelayanan, fitur pelayanan tidak berfungsi, fitur TTE eror, fitur dokumen lainnya masih tunggu integrasi padahal sudah pakai aplikasi dari bulan februari. kemarin pengajuan cetak mandiri KK dan perubahan golongan darah lancar 👍 kedepannya mungkin bisa di tambah pelayanan perubahan status pendidikan juga",3
"Sementara ini aku kasih bintang 3. Peng-integrasian dokumen berjalan lama sekali hingga saat aku tulis ini ga ada hasil. Sehingga, untuk pengurusan yg membutuhkan dokumen harus membawa fisik dokumen. Terus fungsi apk ini apa? Saran saya aplikasi ini juga memuat daftar nomer hp yg terdaftar & terverifikasi menggunakan NIK.",4
"Ini arahnya kemana sih?digitalisasi layanan online tapi saat daftar dan validasi pertama harus scan barcode ke petugas yg ada di kantor layanannya, sama aja dong, tetep ke kantor"" juga,online dari mananya ini....digitalisasi yg sangat menyusahkan 😣😩😫😤,sedih di indonesia masih kyk gini sistem nya",1
"Aplikasi nya nggk guna. 🤣 dijaman yang serba online, ketika butuh data diri sendiri waktu mepet dibutuhkan, malah harus ke dukcapil dlu untuk verifikasi kode QR. iya klo deket!, klo orng yg bersangkutan diluar jangkauan daerah gimana mau ke dukcapil sesuai KTP tempat asal. Wkwkwk kocak kocak",1
"Bilang nya digital dan sudah modern tapi masih harus kembali ke Dukcapil minta barcode setelah rekam wajah, mau heran tapi ini Indonesia, kan sdh jelas NIK nya tinggal pencocokan saja sebenarnya, klo bisa dipersulit kenapa harus dipermudah 😁",2
"Sebenarnya masih kurang efektif selama alat scan barcode belum tersebar merata,contoh kalau terjadi kecelakaan misal,utk pendaftaran RS masih butuh KTP fisik,kalau secara online begini bagaimana kalau korban tidak sadarkan diri/pingsan sedangkan hp dalam keadaan terkunci,pasti susah utk registrasi pendaftaran yg membutuhkan data pribadi seperti KTP",3
"Tidak bisa di akses menggunakan Kuota Data sendiri, Harus menggunakan WiFi telkomsel yg bagus . Cobalah untuk diperbaiki agar bisa di akses dengan segala macam kartu jaringan apapun. Karena tidak semua pengguna apk ini, berada di kota. Coba buat apk yg terjangkau di segala daerah dengan keadaan sinyal yg terjangkau pula di daerah masing2 pengguna.",1
"Aplikasi dan melalui aplikasi whatsapp adminya langsung gerak cepat sekali, memuaskan sekali, jadi tidak menunggu dan bisa melakukan bikin ktp, akta, dan kk bisa dirumah, dan segala persoalan bisa diinformasikan melalui wa, Terimakasih admin simpelin, wa dan anggota disdukcapil kabupaten sukabumi, lebih di pertahankan lagi keunggulan nya, bisa membantu sekali",5
"Seperti biasa aplikasi dari pemerintah selalu: (1) lambat, (2) sering error, (3) sering bug, (4) pelayanan adminnya lambat. Perlu waktu berbulan bulan hanya untuk mengusulkan Akta kelahiran anak. Apk bukannya mempermudah malah hanya menjadi ladang proyek pegawai pemerintahan 👎",1
Aplikasi belum sempurna sudah diluncurkan.. mau pengajuan akte lahir anak tapi engga bisa masuk terus ke server pusat . Malah ngabisin waktu .. upload fto berkas 4 hari engga bisa2.. Perbaiki lagi donk supaya lebih mudah,1
"kenapa di hp oppo a37 saya selalu muncul notif terjadi kesalahan koneksi, padahal jaringan saya baguss, tolong diperbaiki, ini saja update-an terbarunya mentok di tahun kemaren, mau ke dukcapil ga bisa ngapa2in karna harus daftar di aplikasi ini dulu, ribet, gak ada solusi",1
"Saya pakai apk ini karena data yg dikasih dukcapil digital, tapi malah kesalahan koneksi terus ga bisa di buka. Bukannya jadi mudah malah tambah susah pakai apk kaya gini, jelek sekali.",1
Sangat tidak efektif kalau digitalisasi seperti ini kalau niat digitalisasi tinggal koneksi Ke SIAK data sudah ada tinggal mekanisme verivikasi nya yang dimantapin dengan sistem digitalisasi tidak perlu manual lagi,1
"Harusnya online itu mempermudah,bukan menyusahkan scan barcode harus ke kantor dukcapil dlu.ya sama aja kyk ngurus offline.tidak semua org kerjanya diwilayah masing2, byk yg luar kota,online harusnya bisa mengatasi itu, payah.",1
Saya lagi urus pindah KTP tapi aplikasinya gak support untuk hp (infinix note 30) saya. Kalau mau serba digital mestinya gak kejadian yg kaya gini. Tolong di update jadi semua tipe hp bisa instal,1
"Sdh daftar, tapi saat verifikasi foto sulit sekali. Berulang seharian ambil foto berbagai gaya sampe baterai HP habis. Tetap ga bisa, pdhl barkot sdh tersedia di desa. Akhirnya ya tetap ga bs aktifasi.",1
"Aplikasi sampah, tujuannya bagus tapi malah tidak menguntungkan masyarakat padahal anggaran digelontorkan sangat banyak. coba maintance aplikasi ini, sinyal full banget semua lancar tapi saat buka aplikasi ini malah tulisannya ada kesalahan koneksi. Tolong pemerintah yang serius dalam menangani permasalahan seperti ini.",1
"Sekedar ikut digitalisasi negara tak pikir wah. Ternyata wiih lemot ga responsip, menu perubahan data nama atau lainnya secara mandiri ga ada jadi ujungnya harus tetap ke dukcapil. Ayo semangat buat yg bikin aplikasi semoga lebih. Keren lagi seperti aplikasi medsos ternama",3
"Aplikasi sampah.. notif yang dikirim ke Gmail lambat bahkan tidak sampai, menguras waktu untuk mengantri. Sangat tidak efektif. Seharusnya aplikasi government begini harus dimaksimalkan. Aplikasi buatan anak esempe aja.",1
"Takut ah aktifkan ini, ntar data kecurian kayak kemarin pada bilang bukan kesalahan kami, virus disalahkan, minimal data bisa terjamin pasti kupertimbangkan untuk mengaktifkan, selama belum ada jaminan dari vendor yang kredibel suatu contoh SAMSUNG pake KNOX ada 80% tingkat kepercayaan keamanan data.",1
"Katanya digital, tapi aplikasi tak pernah diupdate, bahkan semakin banyak digunakan akan semakin lemot dan tambah buruk performanya, tidak memberikan pengalaman akan teknologi masa depan, malah sekarang lebih tajam dan jelas KTP didompet dari pada yang diaplikasi, GAMBAR PECAH",1
"Jelek,,, banyak bug,,, mau nambah anggota keluarga,, ngebug Mulu bagian isi kolom alamat, manual gk bisa, otomatis kagak, parah nya gk muncul pilihan, tpi isi kolom lain normal, di refresh yg ini sembuh muncul bug lain 🗿🗿😡",1
"Saya sangat merasa di bodohi oleh aplikasi ini, Membuat aplikasi bukan anggaran sedikit pastinya , apalagi pemerintah punya .. Katanya online , ujung nya"" di suruh datang, bayangkan saya sekarang lagi di Makassar, masa cuman urus surat pindah di suruh ke Bekasi , emang tiket gw mau di tanggung? Dan eror nya lagi, setiap menu pelayanan di buka semua eror dan saya sudah coba 1 per satu..",1
"Lebih diperbaiki sistemnya supaya bisa digunakan dengan optimal karena percuma kalau sudah ada digital tapi giliran mau verifikasi data harus menggunakan ktp fisik, jadi kalau memang mau digital ya digital saja dan difungsikan untuk seluruh instansi ...",1
"Tidak seperti aplikasi yg lain saya kira habis didownload lgsung bisa didaftarkan,ternyata melalui registrasi dikantor juga,,kalo dekat ya tdk jd masalah yg dikeluhkan pas lg jauh terkadang itu yg bikin malas.",1
"Lumayan, cuma sayang, tidak dilengkapi fitur lupa kata sandi atau pin, sehingga menyulitkan para pengguna, Kayak aku yg saat ini lupa pin, sehingga ikd tidak bisa di buka lagi,, pergi kedukcapil dengan harapan bisa ke buka, eeeeh , tiada solusinya, masak sekelas dukcapil, instansi pemerintah aplikasinya begini, kalah sama aplikasi yg lain,",1
"Kurang simple menurut saya,, penambahan peserta baru harus browsing lagi ke esimpel trus masuk esimpel sulit banget, minta kirim kode baru nggak bisa masuk nggak ada kode yang dikirim, padahal mengikuti sebuah prosedur,, bukanya mempermudah tapi mempersulit,,,,, Birokrasi nya lebih enak di Jogja pelayanan simpel jelas jika lupa gampang banget minta kode ulang",1
"Sudah mau sebulan email registrasi belum masuk, sedangkan kondisi fisik ktp yg dibutuhkan sudah rusak dan *tidak bisa dicetak*, bisa-bisanya tiap daerah ketentuannya beda². Tolong bekerja yang benar!!!",1
"Terlalu ribet! Pengajuan KTP baru lewat website juga tahun kemarin lama, ga pernah jadi. Sekarang daftar baru masuk aplikasi harus scan barcode yang perlu dikasih dari dukcapil. Tidak fleksibel dengan pembaruan untuk beralih ke sistem online begini.",1
"Aplikasi gak guna.! Harusnya dengan adanya aplikasi bisa mempermudah urusan dengan memangkas waktu dan tenaga, bukan malah jadi bekerja dua kali, sudah pakai embel-embel online kok pelayanan masih harus datang ke dinas terkait. Sama aja dobol..!",1
"Ternyata setelah nyimak byk ulasan sudah byk yg terwakilkan sama pengguna apk ini yg lainnya. Klo bs diperbaiki lg dong apk nya,, mau masuk aj ga bisa"" kesalahan koneksi terus Pdhal kuota data seluler banyak udh 4g pula",1
"Aku install sebenarnya hanya butuh mengetahui teknologi dukcapil dan butuh QR code (bukan barcode: kata bocil lulusan informatika). Eh, ternyata masih butuh validasi offline. Kecewa sih, disaat era pendaftaran perbankan hanya butuh selfie dan foto KTP sebagai validasi, malah Dispenduk Capil bikin sistem yang lebih payah dengan validasi offline :v ngakak geli sih..",1
"Aplikasi ini sangat praktis dan sat set, tetapi semua fiturnya hanya bisa diakses pada hari kerja (seharusnya bisa diakses kapan saja karena bersifat DARING). Fitur yg disediakan cukup lengkap untuk kebutuhan Kependudukan, untuk memasukin setiap fitur tersebut harus memakai PIN dan kode (lebih baik dihilangkan, cukup dg PIN login ke aplikasi aja agar lebih praktis). Overall kita, bisa mengubah data kependudukan, menambah/laporan kematian/pisah KK/dll. Aplikasi ini sangat membantu sekali.",4
"Tolong dong min, cara atasi dokumen gak bisa di buka, pas klik dokumen munculnya cuma loading terus, gak muncul² Data-data nya. Tolong kasih pencerahan/tutor biar bisa kebuka🙏 Koneksi internet(data/wifi) pdahal sudah bagus.",4
"Aplikasi yang sangat tidak efisien sekali,,karena diberlakukan 1 orang / 1 hp,,lalu bagaimana yang tidak mempunyai hp ?? Karena tidak semua orang mempunyai hp walaupun sudah zaman seperti ini, minimal jika ingin mempermudah proses administrasi negara harusnya jangan mempersulit, 1 hp bisa untuk beberapa akun.",1
"Harus dibuka pake WiFi, kalo pake paket data pribadi gak bisa, alias memuat terus. Tolong dong, admin, diperbaiki ya aplikasinya. Masa harus nyari WiFi dulu baru bisa dibuka. Gak efektif, gak efisien, dan gak praktis..",1
"Tujuan install aplikasi ini adalah cek data pribadi yang terdaftar di dukcapil, namun pada kenyataannya mengecewakan, karena pada proses pendaftaran ada perintah untuk scan barcode, yang jadi pertanyaan barcode apa yang mau di scan? Sedangkan masih belum semua memiliki e ktp digital yang masih tahap uji coba, lagipula sebenarnya tidak perlu scan barcode, kan data semua sudah ada di dukcapil, seharusnya cukup memasukkan NIK sudah bisa mengakses data kita, aplikasi masih cacat tapi sudah dirilis.",1
"sejauh ini konsep aplikasi bagus cuma untuk fitur regis kenapa harus ada scan qr code yang harus di dukcapil? klo bisa diganti ke mode verifikasi yang dilakukan oleh petugas dukcapil. Selain itu, fitur save offline juga perlu, jadi disaat kondisi user tidak memiliki jaringan dapat tetap akses.",2
"ada banyak teman saya tak bisa buka aplikasinya. Cuma ada tulisan 'coba lagi' ,, padahal koneksi jaringan internet sangat bagus.., pakai paket data maupun WiFi sama saja tetap tidak mau kebuka.. Coba buat download apk lain seperti JKN mobile dll bisa dibuka... Tapi aplikasi identintas kependudukan initetap tidak bisa kebuka .. coba uninstal dan login lagi tetap gak bisa... Sampek esok harinya dicoba tetap gak bisa... Tolong kalau menetapkan kebijakan lewat aplikasi, aplikasinya dioptimalkan.",1
"-Kualitas dokumen buram (resolusi rendah) -Tidak ada opsi download/cetak -Sering gagal menampilkan menu yang dipilih -Sering terjadi kesalahan (error) saat memilih menu, lalu aplikasi restart sendiri -Kegunaan dari aplikasi yang belum bisa diterima oleh semua pihak yang mensyaratkan dokumen, misal masih meminta menunjukkan KTP fisik, fotocopy KTP fisik, dsb. Hal ini mirip e-KTP yanng masih difotocopy, karena tidak ditegaskan penggunaan sesuai fungsinya oleh pemerintah.",2
"UI nya sederhana, saat registrasi perlu ditingkatkan kemudahan foto ulang karena jika foto ulang maka kembali isi biodata awal, capek kuyy. Isi dalam app seakan-akan copas dari pdf. versi cetak yang sudah ada dan masih tidak bisa urus tanda tangan digital ke peruri langsung dari aplikasi ini. Semoga app ini bermanfaat dan kedepannya banyak perbaikan.",3
"Aplikasi nya sangat sangat tdk membantu, saat ingin membukanya malah tidak bisa.. Untuk apa Dukcapil mewajibkan menginstal aplikasi ini kalo hanya sekedar jadi pajangan di hape? Tolonglah di perbaiki lagi aplikasinya, saat ingin melihat data log in mudah",1
"Sangat tidak mempermudah. Sangat tidak solutif. Kalau ingin bertranformasi ke digital, harus disediakan juga alternatif atau tata cara atau juknis atau apalah untuk tetap mengakomodir request KTP fisik. digital ini transformasi fisik doang, buka APK sulit, gajelas pula gak ada alternatif, alhasil sangat tidak solutif. Sungguh sangat menyulitkan. saya salut akan keamanannya. Namun harus solutif lah untuk setiap masyarakat yg masih membutuhkan KTP fisik yg baru, jelas dan terbaca, harus gimana??!!",1
"Banyak teman2 saya ketika buka aplikasinya muncul pemberitahuan. Terjadi kesalahan koneksi ""coba lagi"" Padahal jaringam wifi kantor kami memakai iconnet plus, lancar dan aman dgn kecepatan 80 mbs. Akhirnya hapus lagi instal lagi. Tetap juga. Saya coba besoknya lagi tetap sama. Sampe 7 hari tetap sama. Dan saya memakai hp samsung s6 edge 128gb. Ram micro 3gb. Penyimpanan yg kosong ada 50gb lagi. Mohon pencerahannya dan perbaikannya",1
"Fitur fitur menunya tolong di perjelas,, Terkadang dokumen integrasi kadang muncul kadang tidak muncul,,, terus fitur fitur yg lainnya seperti,, tte dsb di perjelas lagi ,,,inovasi nya sudah bagus tetapi tolong di tingkat kan kembali,,, supaya masyarakat mengenal dukcapil...",3
"Apasih gunanya E-KTP tapi gak bisa cetak KTP-nya sesuai aplikasinya, masuk ke menu utama selalu kesalahan koneksi padahal jaringan 4G, dan tidak diberikan tutorial diawal sehingga membuat bingung usernya. KALAU TIDAK NIAT BUAT APLIKASI, GAUSAH DIPAKSAKAN LAH! Katanya ingin mempermudah masyarakat Indonesia, tapi malah 'PEMBODOHAN BERKEDOK DOWNLOAD APLIKASI'",1
"Bukannya memudahkan malah merepotkan, kenapa? 1. Setiap keperluan yang memerlukan foto ktp sulit dilakukan bahkan terkadang aplikasi tersebut tidak mendeteksi foto sedangkan dalam aplikasi ini fitur screenshoot dinonaktifkan 2. Setiap mau aktifasi harus ke dukcapil (kasus dukcapil yogya) 3. Tidak semua fasilitas mendukung ktp digital Data sigital memudahkan kita apabila ada urusan di luar kota, namun jangan pula betuk fisik ktp dijadikan digital. Lama ngurusnya, kembalikan saja seperti semula",1
"Gk jelas, sebuah negara bikin aplikasi banyak bug, nyuruh pake ktp digital sedangkan aplikasinya aja banyak minusnya. 1.Sering tekeluar sndiri berkali kali. 2.loadingnya lamaa walaupun jaringan bagus. 3.masuk aja loading lama Sialan!!!!!",1
"Aplikasi nya ""terjadi kesalahan koneksi"" ,sudah berulang ulang kali dibuka tetap ""terjadi kesalahan koneksi"", mungkin aplikasi ini baru di bangun, tolong developer perbaiki aplikasi ini, nanti KTP nya nggak bisa aktif 😡🙏🏻🙏🏻. Tgl 27 bulan 4,sudah bisa daftar nah gitu dong aku kasih bintang 4 dulu y",1
"Tujuan pemakaian KTP digital tentunya untuk memudahkan, buat apa ada aplikasi klo harus scan barcode ke dukcapil? Ujung2nya ribet lg, bukankah data kita udah ada di database dukcapil, cukup verifikasi data aja itu akan lebih mudah. Moga aja ke depan ada perbaikan dan prosesnya jadi lebih mudah",1
"Sudah login berkali-kali tetap saja yg muncul jaringan tidak stabil, padahal jaringan yg kita gunakan stabil,apk ap in saat di butuhkan enggak mau kebuka, harus menggunakan jaringan WiFi, tolong untuk di sesuaikan lagi,mana kita jauh2 dari dukcapil",1
"Kirain bakal cepet ternyata pas coba daftar adminnya tetep aja nginput data kita buat dicek, baru di situ keluar QR code dan mereka yg scan. Kenapa ga kita yg scan sendiri terus mereka tinggal cek database aja buat validasi. Buat buka KTP sama KK bisa tp ga bisa download/cetak, pdhl katanya suruh cetak mandiri, gak berguna. Daftar ttd elektronik ga bisa, cek data dan menu lain masih banyak yg kosong/belum disinkronisasi. Tolong dibenahi dulu semua menunya, baru diterapkan",1
"tidak efisien, tidak efektif dan tidak flexibel coba kalau masuk/login cuma masukan email,nik, sama password kayaknya jauh lebih efisien karena kalo ganti hp ga ribet hrs ke Capil/kelurahan lagi. kalo skrg ganti perangkat/ lupa pin udh ga bisa masuk",1
"Masih banyak bug nya 1. Sering refresh Singal jelek padahal pakai wifi dan paket data,2. Keamanan nya masih di pertanyakan karena ga ada menu logout dan masuk hanya ada menu daftar yg dimana jika kita clear chase otomatis akan logout dan kita wajib ke kelurahan untuk aktivitas ulang itu memakan waktu kita yg dimana tujuan di buat ini wajib simpel tapi tetap ga simpel",1
Mau cari data kk aja kok susah ya lewat apps ini. Padahal udah reinstal berkali-kali tapi tetep gak pernah muncul data dokumennya cuma loading terus. Tolong dong sistemnya diperbaiki. Kan sama aja gak kepake appsnya kalau layanannya jelek gini.,1
"Aplikasi sangat tidak berguna. Foto tidak sinkron, fitur bagikan ktp kk tidak jelas karena pakai QR code bukan file pdf/jpg, tidak bisa screenshot, pin masih menggunakan angka sehingga tidak aman, tampilan UI masih sederhana",1
"tolong ini diperhatikan, aplikasi ini yang katanya bisa mempermudah masyarakat tapi nyatanya aplikasi ini tidak bisa dipakai.. terlebih ini aplikasi tidak bisa dibuka dengan menggunakan jaringan data, dan banyak yg bilang perlu wifi jika mau menggunakannya.. kalo seperti itu ya percuma dong kami repot2 mendaftar ke kantor kalo ujung2nya gabisa dipake, paling tidak tambahkan fitur offline buat yang sudah daftar dan kebutuhan mendadak jadi tinggal di SCAN saja tidak perlu jaringan data..",1
"Apa ini ga bahaya, rentan dibobol kalau hp hilang data disalah gunakan, belum lagi ribet harus ke dukcapil / kecamatan untuk scan barcode, tidak efisien, harusnya dibuatkan sistem yang langsung bisa akses ktp tanpa perlu lagi buat /daftar ulang.",1
"Sebenarnya untuk mempermudah, apalagi kalau kita telah memiliki e-KTP,kan semua data kita telah terekam didukcapil,jadi ga perlu repot lagi datang buat verifikasi via barcode... kalau mau digital masih nanggung, mending fisik saja diterbitkan lagi..berasa seperti pembodohan saja",2
"Sekarang dokumen muter2 terus dan KK tdk bisa terbuka. Ayo anggaran besar tetapi kwalitas kurang apa pembayaran kurang/ dipotong..? setelah foto seharusnya bisa disimpan dahulu, jika sudah sampai kelurahan bisa diteruskan.",3
Dari awal download sampai sekarang.. Uninstall hapus lagi... download lagi... gak bisa dibuka.. Cuma loading terusss.... selaluuuuu... Aplikasi buatan pemerintah tuh jelek bangettt... dananya gak mungkin kurang kann.. Apa gak bisa hire sdm or beli apk yang bagus gitu... bisa bayangin yang tinggal di desa gak sih... terus bapak2 yang gaptek yang bahkan hapenya mungkin yang biasa... Gak pernah ngotak atik or nyoba aplikasi lain selain WA.... hmmmmmmm...,1
"Sebenarnya ini untuk mempermudah apa gimana sih, setiap mau masuk susah banget sinyal 4g masih gk bisa, giliran pake wifi baru bisa. Ini gk mendukung banget buat orang yg tinggal di perkampungan yg sinyalnya lemah. Buat appsnya tolong di upgrade lagi lah jadi gk buat susah pengguna, niatnya mau mempermudah tapi kek malah gimana sih mau buka kadang buat masuk aja susah banget.",1
"Konsep aplikasi ini sudah bagus. Masih ada banyak hal yang perlu ditingkatkan mulai dari kemudahan akses, konektivitas terhubung ke server, dan juga kemampuan untuk menyimpan data agar bisa diakses secara offline (karena saya melihat banyak sekali keluhan tentang masalah jaringan dan kendala mengakses aplikasi disaat sedang tidak ada kuota internet). Setelah itu, baru ditingkatkan lagi UI nya",4
"Pertama baru buka udah error jaringan, padahal pake jaringan yang mumpuni. Kedua gua gak yakin sama sama sistem keamanan aplikasi nya. Ketiga mau daftar aja harus ke dukcapil lagi(Verifikasi KTP kan bisa min hadeh). Keempat dari UI/UX nya hadeh tolong di upgrade lah. Dah itu aja dulu, nunggu aplikasinya bisa di buka dulu baru tambahin komen nya",1
"Upayanya bagus membuat apk ini tapi benar2 useless apabila mau masuk dan daftar saja benar2 ga bisa, dan di uninstall lagi. Harus benar2 membenahi apk nya. Anggarannya ada dan harusnya bisa lbh optimal performancenya kl memang di pergunakan dengan baik dan tidak ada penyimpangannya.",1
"Aplikasi tidak responsif, berjalan lambat, resolusi dokumen digitalnya juga rendah shg kurang jernih. Tambahkan fitur download dokumen, karena sampai saat itu soft copy dokumenlah yang sangat dibutuhkan saat pengumpulan berkas. Rekrut tim IT yang andal agar UI dan UX aplikasinya memuaskan pengguna.",2
Aku kasih bintang 3 karna mau masuk aja harus pake wifi . Pakai data seluler gak mau nyambung koneksi bermasalah . Untuk lain nya sudah bagus untuk barcode nya meski ribet ke kantor desa oke gak masalah karna untuk alasan menjamin keamanan data . Mohon perbaikan untuk aplikasi agar bisa konek dengan sambungan data selular saja.,3
"Aplikasi tidak bisa dibuka sejak install, loading melulu dan terakhir ada info notifikasi terjadi kesalahan 😠, dicoba berulang kali tetap sama hasilnya, aplikasi tidak ada guna, apalagi infonya harus kedukcapil utk verifikasi scan barcode lagi, dimana digitalnya ...akhirnya aku uninstall.. 😂😂😂",1
